P_Account,P_Password,R_AccountNo,Amount
IQ10295,welcome,IQ10307,1000
IQ10297,welcome,IQ10309,2000
IQ10299,welcome,IQ10311,5000
IQ10301,welcome,IQ10313,3000
IQ10303,welcome,IQ10315,2000
IQ10305,welcome,IQ10317,1500
IQ10307,welcome,IQ10319,2500
IQ10309,welcome,IQ10321,3000
IQ10311,welcome,IQ10323,2000
IQ10313,welcome,IQ10325,1000
IQ10315,welcome,IQ10327,1400
IQ10317,welcome,IQ10329,1200
IQ10319,welcome,IQ10331,1100
IQ10321,welcome,IQ10333,1196.153846
IQ10323,welcome,IQ10335,1073.626374
IQ10325,welcome,IQ10337,951.0989011
IQ10327,welcome,IQ10339,828.5714286
IQ10329,welcome,IQ10341,706.043956
IQ10331,welcome,IQ10343,583.5164835
IQ10333,welcome,IQ10345,460.989011
IQ10335,welcome,IQ10347,338.4615385
IQ10337,welcome,IQ10349,215.9340659
IQ10339,welcome,IQ10351,93.40659341
IQ10341,welcome,IQ10353,-29.12087912
IQ10343,welcome,IQ10355,-151.6483516
IQ10345,welcome,IQ10357,-274.1758242
IQ10347,welcome,IQ10359,-396.7032967
IQ10349,welcome,IQ10361,-519.2307692
IQ10351,welcome,IQ10363,-641.7582418
IQ10353,welcome,IQ10365,-764.2857143
IQ10355,welcome,IQ10367,-886.8131868
IQ10359,welcome,IQ10369,-1009.340659
IQ10361,welcome,IQ10371,-1131.868132
IQ10363,welcome,IQ10373,-1254.395604
IQ10365,welcome,IQ10375,-1376.923077
IQ10367,welcome,IQ10377,-1499.450549
IQ10369,welcome,IQ10379,-1621.978022
IQ10371,welcome,IQ10381,-1744.505495
IQ10373,welcome,IQ10383,-1867.032967
IQ10375,welcome,IQ10385,-1989.56044
IQ10377,welcome,IQ10387,-2112.087912
IQ10379,welcome,IQ10389,-2234.615385
IQ10381,welcome,IQ10391,-2357.142857
IQ10383,welcome,IQ10393,-2479.67033
IQ10385,welcome,IQ10395,-2602.197802
IQ10387,welcome,IQ10397,-2724.725275
IQ10389,welcome,IQ10399,-2847.252747
IQ10391,welcome,IQ10401,-2969.78022
IQ10393,welcome,IQ10403,-3092.307692
IQ10395,welcome,IQ10405,-3214.835165
IQ10397,welcome,IQ10407,-3337.362637
