AccNum,Password,Lamount,Fname,Lname,PhnNum,CAddress,PAN,Email,Mnumber,OffAddress,DOB,PinCode,Company
IQ10207,PASSWORD,80000,Venkat,P,9876543213,Ap,BYUWK7890F,uytr@gmail.com,6540981723,Delhi,01-01-1997,509776,IBM
IQ10218,PASSWORD,70000,Rajesh,R,9876543214,Up,TUIPL7632D,fds@gmail.com,6540981723,Ap,16-04-1999,599032,Infosys
IQ10219,PASSWORD,140000,Mukesh,S,9876543215,Chennai,BYUPO8890F,iuytr@gmail.com,6540981723,Up,09-08-1999,597892,TCS
IQ10224,PASSWORD,75000,AK,C,9876543218,Noida,BRTHJ9932D,www@gmail.com,6540981723,Kolkata,17-06-2000,590032,IBM
IQ10226,PASSWORD,100000,Ajay,B,9876543219,Gurugram,BYRTK7890F,vvv@gmail.com,6540981723,Noida,09-08-1999,599129,Infosys
IQ10129,welcome,80000,Venkat,P,9876543213,Ap,BYUWK7890F,uytr@gmail.com,6540981723,Delhi,01-01-1997,509776,IBM
IQ10133,welcome,70000,Rajesh,R,9876543214,Up,TUIPL7632D,fds@gmail.com,6540981723,Ap,16-04-1999,599032,Infosys
IQ10141,welcome,140000,Mukesh,S,9876543215,Chennai,BYUPO8890F,iuytr@gmail.com,6540981723,Up,09-08-1999,597892,TCS
IQ10144,welcome,75000,AK,C,9876543218,Noida,BRTHJ9932D,www@gmail.com,6540981723,Kolkata,17-06-2000,590032,IBM
IQ10146,welcome,100000,Ajay,B,9876543219,Gurugram,BYRTK7890F,vvv@gmail.com,6540981723,Noida,09-08-1999,599129,Infosys
IQ10295,welcome,80000,Venkat,P,9876543213,Ap,BYUWK7890F,uytr@gmail.com,6540981723,Delhi,01-01-1997,509776,IBM
IQ10297,welcome,70000,Rajesh,R,9876543214,Up,TUIPL7632D,fds@gmail.com,6540981723,Ap,16-04-1999,599032,Infosys
IQ10299,welcome,140000,Venkat,P,9876543215,Chennai,BYUPO8890F,iuytr@gmail.com,6540981723,Up,09-08-1999,597892,TCS
IQ10301,welcome,75000,Rajesh,R,9876543218,Noida,BRTHJ9932D,www@gmail.com,6540981723,Kolkata,17-06-2000,590032,IBM
IQ10303,welcome,100000,Mukesh,S,9876543219,Gurugram,BYRTK7890F,vvv@gmail.com,6540981723,Noida,09-08-1999,599129,Infosys
IQ10305,welcome,80000,AK,C,9876543213,Ap,BYUWK7890F,uytr@gmail.com,6540981723,Delhi,01-01-1997,509776,IBM
IQ10307,welcome,70000,Ajay,B,9876543214,Up,TUIPL7632D,fds@gmail.com,6540981723,Ap,16-04-1999,599032,Infosys
IQ10309,welcome,140000,Venkat,P,9876543215,Chennai,BYUPO8890F,iuytr@gmail.com,6540981723,Up,09-08-1999,597892,TCS
IQ10311,welcome,75000,Rajesh,R,9876543218,Noida,BRTHJ9932D,www@gmail.com,6540981723,Kolkata,17-06-2000,590032,IBM
IQ10313,welcome,100000,Mukesh,S,9876543219,Gurugram,BYRTK7890F,vvv@gmail.com,6540981723,Noida,09-08-1999,599129,Infosys
IQ10315,welcome,80000,AK,C,9876543213,Ap,BYUWK7890F,uytr@gmail.com,6540981723,Delhi,01-01-1997,509776,IBM
IQ10317,welcome,70000,Ajay,B,9876543214,Up,TUIPL7632D,fds@gmail.com,6540981723,Ap,16-04-1999,599032,Infosys
IQ10319,welcome,140000,Venkat,P,9876543215,Chennai,BYUPO8890F,iuytr@gmail.com,6540981723,Up,09-08-1999,597892,TCS
IQ10321,welcome,75000,Rajesh,R,9876543218,Noida,BRTHJ9932D,www@gmail.com,6540981723,Kolkata,17-06-2000,590032,IBM
IQ10323,welcome,100000,Venkat,P,9876543219,Gurugram,BYRTK7890F,vvv@gmail.com,6540981723,Noida,09-08-1999,599129,Infosys
IQ10325,welcome,80000,Rajesh,R,9876543213,Ap,BYUWK7890F,uytr@gmail.com,6540981723,Delhi,01-01-1997,509776,IBM
IQ10327,welcome,70000,Mukesh,S,9876543214,Up,TUIPL7632D,fds@gmail.com,6540981723,Ap,16-04-1999,599032,Infosys
IQ10329,welcome,140000,AK,C,9876543215,Chennai,BYUPO8890F,iuytr@gmail.com,6540981723,Up,09-08-1999,597892,TCS
