AccountNum,Password,LoanAmount,firstname,lastname,dob,PhoneNum,pin,Email,PANNum,CompanyName,officeaddress,currentaddress
IQ10129,welcome,400000,A,lastname1,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10133,welcome,100000,B,lastname2,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10141,welcome,700000,A,lastname4,29-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10144,welcome,200000,B,lastname5,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10146,welcome,500000,C,lastname6,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10295,welcome,600000,A,lastname7,01-01-1988,9490287790,500097,shaik12@gmail.com,SDFHl4356B,zoho,madhapur,hyderabad
IQ10297,welcome,900000,B,lastname8,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10299,welcome,150000,C,lastname9,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10301,welcome,400000,A,lastname10,20-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10303,welcome,1500000,B,lastname11,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10305,welcome,800000,C,lastname12,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10307,welcome,400000,A,lastname13,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10309,welcome,100000,B,lastname14,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10311,welcome,700000,A,lastname15,29-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10313,welcome,200000,B,lastname16,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10315,welcome,500000,C,lastname17,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10317,welcome,600000,A,lastname18,01-01-1988,9490287790,500097,shaik12@gmail.com,SDFHl4356B,zoho,madhapur,hyderabad
IQ10319,welcome,900000,B,lastname19,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10321,welcome,150000,A,lastname20,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10323,welcome,400000,B,lastname21,20-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10325,welcome,1500000,A,lastname22,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10327,welcome,800000,B,lastname23,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10329,welcome,800000,C,lastname24,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10331,welcome,400000,A,lastname25,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10333,welcome,100000,B,lastname26,29-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10335,welcome,700000,C,lastname27,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10337,welcome,200000,A,lastname28,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10339,welcome,500000,B,lastname29,01-01-1988,9490287790,500097,shaik12@gmail.com,SDFHl4356B,zoho,madhapur,hyderabad
IQ10341,welcome,600000,C,lastname30,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10343,welcome,900000,A,lastname31,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10345,welcome,150000,B,lastname32,20-05-1999,9490298062,500091,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10347,welcome,400000,A,lastname33,15-10-1996,9490294638,500093,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10349,welcome,1500000,B,lastname34,10-03-1992,9490291214,500095,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10351,welcome,800000,C,lastname35,06-12-1992,9490304910,500087,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10353,welcome,400000,A,lastname36,03-05-2000,9490301486,500089,shaik12@gmail.com,SDFHl4356B,zoho,madhapur,hyderabad
IQ10355,welcome,100000,B,lastname37,29-05-1999,9490298062,500091,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10359,welcome,700000,A,lastname38,15-10-1996,9490294638,500093,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10361,welcome,200000,B,lastname39,10-03-1992,9490291214,500095,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10363,welcome,500000,A,lastname40,01-01-1988,9490287790,500097,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10365,welcome,600000,B,lastname41,06-12-1992,9490304910,500087,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10367,welcome,900000,C,lastname42,03-05-2000,9490301486,500089,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10369,welcome,150000,A,lastname43,20-05-1999,9490298062,500091,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10371,welcome,400000,B,lastname44,15-10-1996,9490294638,500093,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10373,welcome,1500000,C,lastname45,10-03-1992,9490291214,500095,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10375,welcome,800000,A,lastname46,06-12-1992,9490304910,500087,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10377,welcome,400000,B,lastname47,03-05-2000,9490301486,500089,shaik12@gmail.com,SDFHl4356B,zoho,madhapur,hyderabad
IQ10379,welcome,100000,C,lastname48,29-05-1999,9490298062,500091,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10381,welcome,700000,A,lastname49,15-10-1996,9490294638,500093,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
IQ10383,welcome,200000,B,lastname50,10-03-1992,9490291214,500095,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10385,welcome,500000,A,lastname51,01-01-1988,9490287790,500097,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10387,welcome,600000,B,lastname52,06-12-1992,9490304910,500087,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10389,welcome,900000,C,lastname53,03-05-2000,9490301486,500089,shaik7@gmail.com,SDFHl4356U,lenovo,hitechcity,banagalore
IQ10391,welcome,150000,A,lastname54,20-05-1999,9490298062,500091,shaik8@gmail.com,SDFHl4356I,xioami,durgamcheruvu,banagalore
