AccountNum,Password,LoanAmount,Tenure,first name,middlename,lastname,dob,gender,marital status,PhoneNum,yearsatresident,pin,Email,PAN Num,city,you are,CompanyName,Company Nature,totalyearsofexperience
IQ10150,WELCOME,400000,24,A,user1,lastname1,15-06-1996,male,single,9490328878,1,500073,masthan@gmail.com,SDFHl4356K,hyderabad,Software Engineer,spectra,IT,4
IQ10151,WELCOME,100000,12,B,ramesh,lastname2,10-09-1992,female,married,9490325454,2,500075,shaik1@gmail.com,SDFHl4356Q,nellore,Hardware Engineer,vision,Non-IT,4
IQ10156,WELCOME,250000,36,C,suresh,lastname3,06-12-1988,male,married,9490322030,5,500077,shaik2@gmail.com,SDFHl4356W,praksham,Electronics Engineer,capgemini,IT,5
IQ10158,WELCOME,700000,24,A,lakshman,lastname4,03-03-1985,male,single,9490318606,4,500079,shaik3@gmail.com,SDFHl4356E,vijayawada,Electrical Engineer,infosys,Non-IT,2
IQ10160,WELCOME,200000,36,B,sritej,lastname5,29-05-1999,male,married,9490315182,6,500081,shaik4@gmail.com,SDFHl4356R,warangal,Software Engineer,microsoft,IT,2
IQ10162,WELCOME,50000,12,C,user2,lastname6,11-06-2000,female,single,9490311758,1,500083,shaik5@gmail.com,SDFHl4356T,tirupathi,Hardware Engineer,genpact,Non-IT,2
IQ10164,WELCOME,60000,24,A,user3,lastname7,10-09-2001,male,single,9490308334,2,500085,shaik6@gmail.com,SDFHl4356Y,venkatagiri,Electronics Engineer,dell,IT,1
IQ10166,WELCOME,900000,12,B,user4,lastname8,06-12-1992,male,single,9490304910,5,500087,shaik7@gmail.com,SDFHl4356U,city1,Electrical Engineer,lenovo,Non-IT,1
IQ10168,WELCOME,150000,24,C,user5,lastname9,03-05-2000,male,married,9490301486,4,500089,shaik8@gmail.com,SDFHl4356I,city2,Software Engineer,xioami,IT,7
IQ10172,WELCOME,40000,36,A,user6,lastname10,29-05-1999,female,married,9490298062,6,500091,shaik9@gmail.com,SDFHl4356O,city3,Hardware Engineer,snapdrogon,Non-IT,3
IQ10174,WELCOME,1500000,12,B,user7,lastname11,15-10-1996,male,single,9490294638,1,500093,shaik10@gmail.com,SDFHl4356P,city4,Electronics Engineer,accenture,IT,2
IQ10176,WELCOME,80000,24,C,user8,lastname12,10-03-1992,male,married,9490291214,2,500095,shaik11@gmail.com,SDFHl4356M,city5,Electrical Engineer,techM,Non-IT,6
IQ10178,WELCOME,300000,12,A,user9,lastname13,01-01-1988,male,single,9490287790,5,500097,shaik12@gmail.com,SDFHl4356B,city6,Software Engineer,zoho,IT,6
