AccountNum,Password,LoanAmount,first name,lastname,dob,PhoneNum,pin,Email,PAN Num,CompanyName,office address,current address
IQ10129,welcome,400000,A,lastname1,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitech city,banagalore
IQ10133,welcome,100000,B,lastname2,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgam cheruvu,banagalore
IQ10141,welcome,700000,A,lastname4,29-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10144,welcome,200000,B,lastname5,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10146,welcome,500000,C,lastname6,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
IQ10129,welcome,600000,A,lastname7,01-01-1988,9490287790,500097,shaik12@gmail.com,SDFHl4356B,zoho,madhapur,hyderabad
IQ10133,welcome,900000,B,lastname8,06-12-1992,9490304910,500087,shaik7@gmail.com,SDFHl4356U,lenovo,hitech city,banagalore
IQ10141,welcome,150000,C,lastname9,03-05-2000,9490301486,500089,shaik8@gmail.com,SDFHl4356I,xioami,durgam cheruvu,banagalore
IQ10144,welcome,400000,A,lastname10,20-05-1999,9490298062,500091,shaik9@gmail.com,SDFHl4356O,snapdrogon,gachibowli,amaravathi
IQ10146,welcome,1500000,B,lastname11,15-10-1996,9490294638,500093,shaik10@gmail.com,SDFHl4356P,accenture,kphb,pune
IQ10129,welcome,800000,C,lastname12,10-03-1992,9490291214,500095,shaik11@gmail.com,SDFHl4356M,techM,nanakramguda,delhi
