AccountName,Password,Amount,payname,paybank
IQ10126,welcome,100,name1,boi
IQ10129,welcome,1000,name2,sbi
IQ10133,welcome,10000,name3,icici
IQ10136,welcome,100000,name4,statebank
IQ10141,welcome,1000,name5,yesbank
IQ10144,welcome,10000,name6,boi
IQ10146,welcome,100000,name7,sbi
IQ10309,welcome,100,name8,boi
IQ10311,welcome,1000,name9,sbi
IQ10313,welcome,10000,name10,icici
IQ10315,welcome,100000,name11,statebank
IQ10317,welcome,1000,name12,yesbank
IQ10319,welcome,10000,name13,boi
IQ10321,welcome,100000,name14,sbi
IQ10323,welcome,100,name15,boi
IQ10325,welcome,1000,name16,sbi
IQ10327,welcome,10000,name17,boi
IQ10329,welcome,100000,name18,sbi
IQ10331,welcome,1000,name19,icici
IQ10333,welcome,10000,name20,statebank
IQ10335,welcome,100000,name21,yesbank
IQ10337,welcome,100,name22,boi
IQ10339,welcome,1000,name23,sbi
IQ10341,welcome,10000,name24,boi
IQ10343,welcome,100000,name25,sbi
IQ10345,welcome,1000,name26,icici
IQ10347,welcome,10000,name27,statebank
IQ10349,welcome,100000,name28,yesbank
IQ10351,welcome,100,name29,boi
IQ10353,welcome,1000,name30,sbi
IQ10355,welcome,10000,name31,boi
IQ10359,welcome,100000,name32,sbi
IQ10361,welcome,1000,name33,boi
IQ10363,welcome,10000,name34,sbi
IQ10365,welcome,100000,name35,icici
IQ10367,welcome,100,name36,statebank
IQ10369,welcome,1000,name37,yesbank
IQ10371,welcome,10000,name38,boi
IQ10373,welcome,100000,name39,sbi
IQ10375,welcome,1000,name40,boi
IQ10377,welcome,10000,name41,sbi
IQ10379,welcome,100000,name42,icici
IQ10381,welcome,100,name43,statebank
IQ10383,welcome,1000,name44,yesbank
IQ10385,welcome,10000,name45,boi
IQ10387,welcome,100000,name46,sbi
IQ10389,welcome,1000,name47,boi
IQ10391,welcome,10000,name48,sbi
IQ10393,welcome,100000,name49,boi
IQ10395,welcome,100,name50,sbi
IQ10397,welcome,1000,name51,icici
IQ10399,welcome,10000,name52,statebank
IQ10401,welcome,100000,name53,yesbank
IQ10403,welcome,1000,name54,boi
IQ10405,welcome,10000,name55,sbi
IQ10407,welcome,100000,name56,boi
IQ10409,welcome,100,name57,sbi
IQ10411,welcome,1000,name58,icici
IQ10413,welcome,10000,name59,statebank
